0500000000,0000000010,HT1000,,EUR,1137.64,956,181.64,1,EA,20121204
0500000000,0000000020,HT1091,,EUR,61.88,52,9.88,2,EA,20121204
0500000000,0000000030,HT6100,,EUR,1116.22,938,178.22,2,EA,20121204
0500000000,0000000040,HT1001,,EUR,2275.28,1912,363.28,2,EA,20121204
0500000000,0000000050,HT1092,,EUR,92.82,78,14.82,3,EA,20121204
0500000000,0000000060,HT6101,,EUR,1116.22,938,178.22,2,EA,20121204
0500000000,0000000070,HT1002,,EUR,2275.28,1912,363.28,2,EA,20121204
0500000000,0000000080,HT1090,,EUR,61.88,52,9.88,2,EA,20121204
0500000000,0000000090,HT6102,,EUR,1674.33,1407,267.33,3,EA,20121204
0500000000,0000000100,HT1007,,EUR,3412.92,2868,544.92,3,EA,20121204
0500000001,0000000010,HT1100,,USD,213.96,179.8,34.16,2,EA,20121204
0500000001,0000000020,HT2026,,USD,35.69,29.99,5.7,1,EA,20121204
0500000001,0000000030,HT1002,,USD,3736.6,3140,596.6,2,EA,20121204
0500000001,0000000040,HT1101,,USD,213.96,179.8,34.16,2,EA,20121204
0500000001,0000000050,HT2027,,USD,71.38,59.98,11.4,2,EA,20121204
0500000001,0000000060,HT1003,,USD,3736.6,3140,596.6,2,EA,20121204
0500000001,0000000070,HT1102,,USD,320.94,269.7,51.24,3,EA,20121204
0500000001,0000000080,HT2028,,USD,107.06,89.97,17.09,3,EA,20121204
0500000001,0000000090,HT1004,,USD,3736.6,3140,596.6,2,EA,20121204
0500000001,0000000100,HT1103,,USD,320.94,269.7,51.24,3,EA,20121204